DALI_ID,Title,Artist,Language,Genre
001940b614eb43f4a0c826d49a67d66d,Woman In Love,Barbra Streisand,english,"Pop, Rock"
003531d7bdf1403394a15107c4dc9e4a,Rock The Night,Europe,english,"Pop, Rock"
003fcab426b245eba7a07df724295c78,Die Liste,Roger Cicero,german,Pop
0056b60ad09c4f389d107868e2d5c149,"It's My Life/Confessions, Pt. II",Glee Cast,english,N/A
007c0152242340008ff45781a9b08546,Wildfire,Demi Lovato,english,Pop
0082266932594913a73b3302355076e2,Geschwisterliebe,Die Ärzte,german,N/A
0091064bdc72469ca7096d3a0db74562,100 Years,Five For Fighting,english,Rock
00c4f2efb0b143728113fad1a78d6ce3,Sober,Tool,english,N/A
00d52567b07b4a819aa6149d2fbfbfd5,Fliegen,Lotto King Karl,german,Pop
00d5c65d644c4a549e7d501d65397b7b,Diamond Eyes,Deftones,english,Rock
00d9de583ea3498db32ee187f6b66dd6,Otherworld,The Black Mages,english,N/A
00dae9818fe74c15897e4e7c52e75294,Losing My Religion,Glee Cast,english,Pop
00dd3fdd30ae40628a7a96eea4bc1bf1,Sorry Seems To Be The Hardest Word,Elton John,english,Pop
00dfbe92cfd9443987631a3f548f79f1,Foxtrot Uniform Charlie Kilo,Bloodhound Gang,english,"Alternative, Pop Indé"
00e143a9b5ab42b79fcd8e8fb77b9d62,Como Yo Nadie Te Ha Amado,Bon Jovi,spanish,N/A
00f07eeb017f48039610c540a802c8c2,Strange,Tokio Hotel,english,Pop
010d11ec37bd468f93af7f87a54e69ac,Alone I Break,KoRn,english,"Pop, Metal"
012b6b8de67b4bfa84911e603adabb91,Down Boy,Holly Valance,english,N/A
012d2f781d0b4efc93e9b888830bee8c,Vacation,The Go-Go's,english,N/A
01419daf7da64fbcb9e989d030141fa4,Let's Call The Whole Thing Off,Ella Fitzgerald,english,N/A
014f1aecb83e4edaaa9f9031f1cdcb80,Stairway To Heaven,Led Zeppelin,english,Rock
015b9edf58af411db9e5ce80ae4a44fe,"New York, New York",Frank Sinatra,english,N/A
018815908bd7487889b55ff8f1c1a201,The Kinslayer,Nightwish,english,Metal
0192c700ba0f4c0cb7acb677a83c9e30,Kerosene,Miranda Lambert,english,Country
01b0d474bb0d49628304969e12f53a18,Adios,Rammstein,german,N/A
01c5c437a68c44b8b688f5c391a490c9,La Mia Ragazza Mena,Articolo 31,italian,N/A
01da0552aef647d087bba8d7e3a67677,The Gambler,Kenny Rogers,english,Country
01e69b29469a4f178a12f4489bf859f0,Devil In A Midnight Mass,Billy Talent,english,"Alternative, Rock indé"
01e9b4d2507b4be181d3024e1b173de8,Kinky Afro,Happy Mondays,english,N/A
01f9b7123d9f43d3bb1bc9f88764bd0b,Laura,Johnny Hallyday,french,"Alternative, Rock indé"
020d9b9b88184ab5b434cb89fd9df723,Why Worry,Sylver,english,Pop
022411a432334ca2800c07dfc81848a2,Pod Papugami,Czesław Niemen,polish,N/A
02378d00cd9d4e7fb382d10b1de6e406,The One And Only,Chesney Hawkes,english,Pop
02436f7b58db4f889d1adad908f8f32f,Peaches,The Presidents Of The United States Of America,english,"Alternative, Pop Indé"
024c9036742d4fcca03af2c8cee1553d,Diventerai Una Star,Finley,italian,Rock
025dfc8869304bbdabaa9657a54b79e4,Wait,The Beatles,english,N/A
026b507fbb5c41aaaa4ec0f8b20a30da,Criticize,Alexander O'Neal,english,N/A
027e784809114a439c5cbf1e6e2b50bd,Down,The Birthday Massacre,english,Alternative
02898c494fc949c5a819503e9df38b3a,Integral,Pet Shop Boys,english,Pop
028d81449c0b46838a873d69729e82de,Seasons In The Sun,Terry Jacks,english,Bolero
028f971495ef4cbd99922045bfd59585,My Dear Machine,Sixpence None The Richer,english,Pop
02a5b37cf5e24255979a4ca45a587fe3,Get Away With Murder,Jeffree Star,english,N/A
02a9a45155574d77a41bc7dc8ee5b34c,(You Drive Me) Crazy (Stop Remix),Britney Spears,english,"Dance, Pop"
02fc3cf8665b432c9a03970a9e31c23b,Runaway Train,Soul Asylum,english,"Alternative, Pop Indé"
03148079354444408bd9e7e4f57995d0,Nessun Dorma,Luciano Pavarotti,italian,N/A
0314e07bdfe74bfa87cd0b8b9aca3418,Closest Thing To Crazy *** DVD ***,Katie Melua,english,N/A
0317b71c4e844a2d845a7b5a315a9eb4,Calling All Cars,Senses Fail,english,Alternative
0324ec20a20446b28a4c0b18c15eb7fd,All Night Long (All Night),Lionel Richie,english,Pop
032daa690b61406686d283422a1a2e43,Maria,Scooter,english,N/A
03335ec65d2c45ac99002cb18708846d,All My Best Friends Are Metalheads,Less Than Jake,english,"Alternative, Pop Indé"
03454521a94c4bdcb882bf0dad40250d,That Great Love Sound,The Raveonettes,english,"Alternative, Rock indé"
0347cbd924da4a67afd15b10c9f257e1,When It's Over,Sugar Ray,english,N/A
0348e3799c164649bc8bd0da206062f3,I Think We're Alone Now,Topmodelz,english,"Electro, Techno/House"
034d75940d064dd3b6ea094e90116e4b,Alone,Céline Dion,english,Pop
03613f7637e84ec8a99708dd0bfe5e5b,Lazarus,Porcupine Tree,english,Rock
0379bb70af2f481e8e0a5d6d9b8913a9,Ain't My Bitch,Metallica,english,N/A
037e7e90f1b3473e9fb1ab3c91725a51,"10,000 Reasons (Bless The Lord)",Matt Redman,english,N/A
037fdd87ed814513aff74fbf1eb86ebb,Bright Eyes,Art Garfunkel,english,Pop
03943393154446e28b93c02a01db0a19,Happy Ending,Mika,english,"Pop, Rock"
03983453e28b4de7ae24c23233d7ada0,Vermilion Pt. 2,Slipknot,english,"Pop, Rock"
039c271d94e84c0ba8bc282b1b3c927c,Stil In Mij,Van Dik Hout,dutch,Pop
03ad7aaa561847f8b450e327f874f6d2,Burli,Erste Allgemeine Verunsicherung,german,"Pop, Rock"
03b71e62b82a48dcbaad64cc6d742462,Stealing Society,System Of A Down,english,"Pop, Rock"
03babfb0033c46d88a38e0f6275de5b5,These Boots Are Made For Walkin',Nancy Sinatra,english,N/A
03bc29bd65cc415ebfa25aba13b1b3be,Ruf Teddybär 14,Jonny Hill,german,N/A
03bf00cbf8a446f6b75283bcdd568457,Work Of Art,Demi Lovato,english,"Pop, Rock"
03ccf382573c4c00a1ffd4b469a4cf90,Young Blood,Norah Jones,english,"Alternative, Rock indé"
04079ffbcfc145cda6537ab1082c84ea,Guilty,Blue,english,"Pop, Rock"
040d78f62e584812beb3a8cf98c84bf2,No Ordinary Girl,Kate Alexa,english,N/A
04112539e45b41b8983fcd82904e3c4f,I Can Feel You,Anastacia,english,"Electro, Dance"
043665c57ffb4fd0a5c0939fc9831bce,Funzioni Primarie,Velvet,italian,Pop
046baf6d3e6f43d0ae30031746f17668,Baśka,Wilki,polish,Pop
046eb308496c4adaa9d3d700b5a92506,All Apologies,Nirvana,english,Alternative
0486f7fd3ab84e5ba842c85cd9542ea2,Shadow Of The Day,Linkin Park,english,"Alternative, Pop"
048b8f2984e940be9572f36dddc61818,Girl,Anouk,english,Pop
048be1eab34e4481af972c25bf17ccec,Leningrad,Billy Joel,english,"Pop, Rock"
04968fa6d11a480c80c894c0684bb9d5,Kom Och Ta Mig,Brandsta City Släckers,swedish,Pop
0499b4bcdc7547f6a6ab7a89755c7462,Kuzu Kuzu,Tarkan,turkish,Pop
049f7fed6ebd41da90f657e95e160995,Der Kommissar,Falco,german,Pop
04c3572ceddc46eb894d3878db555741,Violet,Hole,english,N/A
04d964d3c8974d26b60fae4154d155eb,Joah,Jay Park,cebuano,N/A
04deea27687e49d6a0e833504a7dd7df,Pipeline,Depeche Mode,english,Pop
04e641f6b00f49b0bbdcb5c30da7fbbb,Misery Business,Paramore,english,"Alternative, Pop Indé"
04ea63c2d884424d97a5c46b37d6937e,Wrathchild,Iron Maiden,english,"Rock, Metal"
0506b94149bd4205bcef510fdc4d7b53,"Quando, Quando, Quando",Engelbert Humperdinck,english,Pop
